,ips_cell_line,pred_VPN,exp_distance,exp_distance_decimals,axonal_growth,ips_condition
4,007#4,B7_021,300665.94638331834,946,1.52,fast
3,007#4,B7_009,300665.983415676,983,1.58,fast
19,007#4,B7_110,300666.0640896832,64,1.53,fast
6,007#4,B7_030,300666.13790213084,138,1.87,fast
18,007#4,B7_109,300666.2207755502,221,1.75,fast
2,007#4,B7_008,300666.2294121643,229,1.48,fast
23,007#4,B7_116,300666.23824631114,238,2.08,fast
7,007#4,B7_033,300666.26187255327,262,1.18,fast
1,007#4,B7_007,300666.28779428056,288,2.45,fast
21,007#4,B7_112,300666.2980156024,298,2.07,fast
13,007#4,B7_067,300666.3077870239,308,1.66,fast
0,007#4,B7_001,300666.3118648736,312,1.57,fast
14,007#4,B7_068,300666.31607020483,316,1.62,fast
12,007#4,B7_066,300666.34093754133,341,1.26,fast
10,007#4,B7_051,300666.34327892505,343,2.07,fast
11,007#4,B7_052,300666.387676092,388,1.7,fast
15,007#4,B7_069,300666.41005809186,41,1.39,fast
20,007#4,B7_111,300666.4201190411,42,1.87,fast
17,007#4,B7_105,300666.42688325275,427,1.87,fast
8,007#4,B7_035,300666.4773578437,477,1.49,fast
9,007#4,B7_048,300666.4778253474,478,1.48,fast
16,007#4,B7_100,300666.4794314774,479,1.89,fast
22,007#4,B7_113,300666.538086525,538,2.15,fast
5,007#4,B7_028,300666.5782481382,578,1.32,fast
75,051#1,B7_009,326137.1756744636,176,1.58,fast
76,051#1,B7_021,326137.2133057861,213,1.52,fast
91,051#1,B7_110,326137.28645250504,286,1.53,fast
74,051#1,B7_008,326137.39547661255,395,1.48,fast
90,051#1,B7_109,326137.42873541365,429,1.75,fast
78,051#1,B7_030,326137.4469127657,447,1.87,fast
73,051#1,B7_007,326137.45692867413,457,2.45,fast
93,051#1,B7_112,326137.4615023536,462,2.07,fast
84,051#1,B7_066,326137.4705573877,471,1.26,fast
79,051#1,B7_033,326137.5035329421,504,1.18,fast
85,051#1,B7_067,326137.5127447239,513,1.66,fast
88,051#1,B7_100,326137.5211090593,521,1.89,fast
82,051#1,B7_051,326137.5266210346,527,2.07,fast
95,051#1,B7_116,326137.5424313909,542,2.08,fast
87,051#1,B7_069,326137.5786368375,579,1.39,fast
72,051#1,B7_001,326137.5907078029,591,1.57,fast
81,051#1,B7_048,326137.60196793295,602,1.48,fast
89,051#1,B7_105,326137.61061721586,611,1.87,fast
92,051#1,B7_111,326137.62570997333,626,1.87,fast
86,051#1,B7_068,326137.6285140986,629,1.62,fast
80,051#1,B7_035,326137.64709866274,647,1.49,fast
83,051#1,B7_052,326137.69710553926,697,1.7,fast
77,051#1,B7_028,326137.80216817267,802,1.32,fast
94,051#1,B7_113,326137.8128249911,813,2.15,fast
124,112#3,B7_021,340831.4023451149,402,1.52,fast
123,112#3,B7_009,340831.4516217774,452,1.58,fast
139,112#3,B7_110,340831.5687678938,569,1.53,fast
126,112#3,B7_030,340831.65377290524,654,1.87,fast
